car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,lat,lon,lat_rad,lon_rad
A55,BLK 729/730 ANG MO KIO AVE 6/8,29485.5,39515.49,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.373632046,103.8466669,0.023974402,1.812466255
A56,BLK 725/730 ANG MO KIO AVE 8,29538.847,39411.5653,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.37269219,103.8471462,0.023957998,1.81247462
A57,BLK 720/723 ANG MO KIO AVE 8,29518.5871,39336.4776,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.372013128,103.8469642,0.023946146,1.812471443
A58,BLK 721/722 ANG MO KIO AVE 8,29603.16,39372.68,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.372340524,103.8477241,0.023951861,1.812484706
A59,BLK 547/551 ANG MO KIO ST 54,30764.02,39542.5,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.373876222,103.8581553,0.023978664,1.812666765
A60,BLK 540/546 ANG MO KIO ST 54,30514.5273,39606.8281,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.374458001,103.8559134,0.023988818,1.812627636
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,30096.82,39574.31,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.374163954,103.85216,0.023983685,1.812562127
A63,BLK 501/513/508 ANG MO KIO ST 52/53,29789.1832,39685.5876,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.375170324,103.8493957,0.02400125,1.812513881
A64,BLK 584/586 ANG MO KIO ST 51,30243,39169.18,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.370500109,103.8534735,0.023919739,1.812585052
A65,BLK 558/560 ANG MO KIO STREET 54,30904.46,39226.97,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.371022681,103.8594172,0.02392886,1.812688789
